Thought,Label
"Today was supposed to be the big day—my chance to prove I could handle leading the project at work. But after fumbling through my presentation and missing a couple of key points, I feel like I completely failed. I don’t think anyone took me seriously; maybe I’m just not cut out for leadership after all. It’s frustrating because I wanted to show them I had it all together, but now I feel like I’m back at square one.",All or nothing thinking
"I spent weeks prepping for this half-marathon, thinking it would be the start of a new chapter for me. But today I had to stop halfway because my knee started hurting, and now it feels like the whole thing was pointless. I can’t believe I couldn’t even finish; maybe I was never meant to be a runner. All that effort, and for what? I’m not sure I’ll bother trying again",All or nothing thinking
"I finally hosted a dinner party, something I’ve wanted to do for ages, but it didn’t go like I planned. The main course was undercooked, and a couple of people barely touched their plates. I feel like such a failure as a host—if I can’t even get one evening right, what’s the point in trying again? I thought this would be a fun way to connect with friends, but now it just feels embarrassing.",All or nothing thinking
"Today was my first day volunteering at the shelter, and honestly, I thought it would feel more rewarding. Instead, I spent most of my time cleaning and doing little tasks that didn’t seem to matter. I guess I’m not actually making any real difference here if that’s all I’m able to contribute. Maybe this isn’t worth my time after all if I can’t have a real impact.",All or nothing thinking
"I finally tried my hand at baking a cake from scratch, something I’ve always wanted to do. But the cake came out dense and a bit dry, and honestly, it felt like such a waste of time and effort. If I can’t even bake one cake well, maybe I’m just not cut out for this at all. I wanted it to turn out perfect, and now I’m wondering if I should stick to simpler things",All or nothing thinking
"I finally gave a speech at the community event, and I’d been so nervous for weeks. I stumbled over a few words, and now all I can think about is how it must’ve looked to everyone. I really thought I’d be able to speak confidently, but I ended up feeling like a complete mess up there. Maybe I’m just not meant for public speaking at all—either I’m amazing at it, or there’s no point.",All or nothing thinking
"I’ve been studying for this certification exam for months, but after today’s practice test, I’m feeling hopeless. I missed way more questions than I thought I would, and now I’m starting to think I’ll never pass. I wanted to feel like I was on top of it by now, but I can’t help but feel like I’m failing completely. Maybe this whole goal was unrealistic from the start",All or nothing thinking
"I tried joining a new hiking group today, hoping it would be a fun way to meet people, but it ended up being so awkward. I didn’t hit it off with anyone right away, and the whole hike felt uncomfortable. If I can’t connect with people immediately, maybe I’m just not cut out for group activities like this. I thought it’d be easy to make friends, but now it feels pointless to keep trying",All or nothing thinking
"Today was my first day trying yoga, and honestly, it didn’t go how I’d hoped. I couldn’t keep up with most of the poses, and I felt out of place next to everyone who seemed so natural at it. I thought I’d feel calm and capable, but instead, I left feeling like I completely failed. Maybe I’m just not cut out for this kind of thing—either I get it right from the start, or it’s not worth it",All or nothing thinking
"I tried cooking a new recipe tonight, hoping it would be a nice surprise for everyone, but it turned out bland, and nobody seemed that impressed. I thought I could pull it off, but I guess I don’t have what it takes to make something special. It feels like if I can’t make a perfect meal, there’s no point in even trying. I wanted it to be great, but instead, it just feels like I shouldn’t have bothered.",All or nothing thinking
,
"I have that big meeting tomorrow, and I just know it’s going to go terribly. No matter how much I prepare, I can already picture myself freezing up or forgetting everything I planned to say. They’re all going to see right through me and realize I’m in over my head. I wish I could avoid it somehow, but it’s too late now—I’ll just have to face the inevitable disaster.",Fortune Telling
"Tomorrow’s my first day at the new job, and I already feel like I’m going to mess it all up. I can just imagine myself making some huge mistake or saying something stupid in front of everyone. It’s like they’re going to figure out right away that I don’t belong there. I wish I could shake this feeling, but somehow, I know it’s going to be a disaster.",Fortune Telling
"I agreed to go to the party on Saturday, but I’m already dreading it. I can picture it now—awkward silences, nobody really talking to me, just me standing alone by the snack table, wishing I hadn’t come. It’s like every time I try to put myself out there, it ends up being embarrassing. I know I’ll just feel out of place, so maybe I should skip it and save myself the trouble.",Fortune Telling
"I’m supposed to go on that first date tomorrow, but honestly, I’m expecting it to be a total disaster. I’ll probably say something awkward, and they’ll be counting the minutes until it’s over. I’m already imagining how uncomfortable the whole thing will be, with forced conversation and awkward silences. I don’t even know why I’m putting myself through this—feels like it’s bound to end badly",Fortune Telling
"I’m supposed to give a toast at my sister’s wedding this weekend, but I can already see how it’ll go wrong. I’ll probably stammer or forget what I planned to say, and everyone will just be politely smiling while I make a fool of myself. I can feel the embarrassment creeping in already, like it’s inevitable. I wish I could be excited, but all I can picture is the worst-case scenario playing out in front of everyone.",Fortune Telling
"I have that big presentation at school tomorrow, and I’m convinced I’m going to mess it up. I just know I’ll get up there and forget everything I rehearsed, or my mind will go blank in front of the class. They’re all going to see me freeze, and I’ll never live it down. It’s like I can already feel the embarrassment—I almost wish I could find a way out of this",Fortune Telling
"I have a doctor’s appointment next week, and I can’t shake the feeling that they’re going to find something seriously wrong. It’s probably nothing, but every little ache suddenly feels like a huge red flag. I can already picture them looking concerned and telling me something I don’t want to hear. I keep trying to stay calm, but it feels like the bad news is just waiting for me.",Fortune Telling
"I finally sent out a few job applications, and now I’m almost regretting it. I keep thinking about the interviews and how I’ll probably just freeze or say something stupid. They’ll see right through me and realize I’m not the person they’re looking for. I don’t even know if I should get my hopes up—it feels like rejection is practically guaranteed.",Fortune Telling
